diseaseName	geneCount	geneSymbol	diseaseCount	associationType	score_gdn	score_hpo	score_conf	score_total	count_total	parse	category	ideal	OrphaNet	Prevalence	PrevalenceCode
Ocular albinism type 1	10	GPR143	12	GeneticVariation	0.7251030822616858	0.0	0.0	0.015144315166360169	0.09124087591240876	ocular albinism	Eyes and vision	1.340068604796629	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=1000	<1 / 1,000,000	1
Giant axonal neuropathy	4	GAN	17	GeneticVariation	0.7242525685514051	0.0	0.0	0.013953595971966992	0.1865671641791045	giant axonal	Brain and nervous system	1.2782646397707476	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=643	<1 / 1,000,000	1
Fraser syndrome	7	FREM2	8	GeneticVariation	0.723402054841124	0.0	0.0	0.012762876777573595	0.13089005235602094	fraser syndrome	Not Available	1.3152905529054075	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=2052	1-9 / 1,000,000	2
Usher syndrome, type iiia	9	CLRN1	14	GeneticVariation	0.723402054841124	0.0	0.0	0.012762876777573595	0.09881422924901184	usher syndrome	Ear, nose, and throat	1.3367022596197498	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=231183	1-9 / 1,000,000	2
Glycogen storage disease type vii	11	PFKM	14	GeneticVariation	0.7231675812296279	0.0	0.0	0.012434613721479026	0.08250825082508251	glycogen storage	Food, nutrition, and metabolism	1.3479898003989104	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=368	Unknown	0
Ethylmalonic encephalopathy	7	ETHE1	9	GeneticVariation	0.7231185502710301	0.0	0.0	0.012365970379442093	0.1295336787564767	ethylmalonic encephalopathy	Blood/lymphatic system	1.3164849383429245	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=51188	<1 / 1,000,000	1
Hypercholesterolemia, autosomal recessive	10	LDLRAP1	15	GeneticVariation	0.7231185502710301	0.0	0.0	0.012365970379442093	0.08928571428571429	hypercholesterolemia  autosomal	Food, nutrition, and metabolism	1.343436446829035	Not Available	Not Available	0
Cleft palate x-linked	6	TBX22	14	GeneticVariation	0.722835045700937	0.0	0.0	0.0119690639813117	0.1404494382022472	cleft palate	Mouth and teeth	1.3095924170583757	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=1072	Unknown	0
Pyogenic arthritis, pyoderma gangrenosum, and acne	6	PSTPIP1	18	GeneticVariation	0.722835045700937	0.0	0.0	0.0119690639813117	0.13440860215053765	pyogenic arthritis	Skin, hair, and nails	1.3135652243268896	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=69126	<1 / 1,000,000	1
Multiple sulfatase deficiency disease	6	SUMF1	7	GeneticVariation	0.722551541130843	0.0	0.0	0.011572157583180198	0.1524390243902439	multiple sulfatase	Bones, muscles, and connective tissues	1.3020557618786266	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=585	<1 / 1,000,000	1
Short chain acyl coa dehydrogenase deficiency	5	ACADS	12	GeneticVariation	0.722551541130843	0.0	0.0	0.011572157583180198	0.16778523489932887	short chain	Food, nutrition, and metabolism	1.2921188083594848	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=71212	<1 / 1,000,000	1
Johanson blizzard syndrome	1	UBR1	10	GeneticVariation	0.722268036560749	0.0	0.0	0.011175251185048474	0.5555555555555556	johanson blizzard	Not Available	1.0841149607244072	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=2315	1-9 / 1,000,000	2
Ectodermal dysplasia, hypohidrotic, autosomal recessive	2	EDAR	15	GeneticVariation	0.7219845319906558	0.0	0.0	0.010778344786918082	0.3125	ectodermal dysplasia	Bones, muscles, and connective tissues	1.2046641578226314	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=1174	Unknown	0
Charcot-marie-tooth disease, type 4c	1	SH3TC2	15	GeneticVariation	0.7217010274205621	0.0	0.0	0.0103814383887868	0.4545454545454545	charcot marie	Bones, muscles, and connective tissues	1.1299847603585065	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=324611	Unknown	0
Renal tubular acidosis, distal, autosomal recessive	5	ATP6V0A4	19	GeneticVariation	0.7217010274205621	0.0	0.0	0.0103814383887868	0.15337423312883436	renal tubular	Kidneys and urinary system	1.3023517522603625	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=18	Unknown	0
Rhizomelic chondrodysplasia punctata, type 1	4	PEX7	14	GeneticVariation	0.7217010274205621	0.0	0.0	0.0103814383887868	0.1953125	rhizomelic chondrodysplasia	Bones, muscles, and connective tissues	1.2754869149237464	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=176	Unknown	0
Charcot-marie-tooth disease, type 4b1	4	MTMR2	15	GeneticVariation	0.7217010274205621	0.0	0.0	0.0103814383887868	0.1923076923076923	charcot marie	Bones, muscles, and connective tissues	1.277384735070359	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?&Expert=324611	Unknown	0
